transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Islington On The Green, 12A Islington Green, Angel, Islington, N1",1.0,1,,2665,615,1 bedroom apartment to rent,apartment,N1,Savills - Islington,omt,https://www.onthemarket.com/details/776007/,> 14 days
rent,"St Georges Square, Pimlico, SW1V 3QX",2.0,1,,2800,646,2 bedroom flat to rent,flat,3QX,Tennison Property - Wimbledon,omt,https://www.onthemarket.com/details/13234905/,2023-05-20
rent,"Bushey Road, Raynes Park, London, SW20 0JF",1.0,1,,1495,345,1 bedroom flat to rent,flat,0JF,,omt,https://www.onthemarket.com/details/13205276/,2023-05-20
rent,"Lascotts Road, Wood Green, London, N22 8JG",2.0,1,,1647,380,2 bedroom flat to rent,flat,8JG,,omt,https://www.onthemarket.com/details/13234903/,2023-05-20
rent,"Loddiges Road, Hackney, London, E9 6PR",3.0,1,,2817,650,3 bedroom maisonette to rent,maisonette,6PR,,omt,https://www.onthemarket.com/details/13234904/,2023-05-20
rent,"Hampshire Street, Kentish Town, London, NW5 2TE",2.0,1,,2448,565,2 bedroom flat to rent,flat,2TE,,omt,https://www.onthemarket.com/details/9614711/,2023-05-20
rent,"Kempshott Road, London, SW16",2.0,1,,1900,438,2 bedroom apartment to rent,apartment,SW16,,omt,https://www.onthemarket.com/details/10492372/,2023-05-20
rent,"Seymour Road, London, N8",2.0,1,,2100,485,2 bedroom terraced house to rent,terraced,N8,,omt,https://www.onthemarket.com/details/13234899/,2023-05-20
rent,"Ryculff Square, Blackheath, SE3",2.0,1,,1750,404,2 bedroom maisonette to rent,maisonette,SE3,,omt,https://www.onthemarket.com/details/5554990/,2023-05-20
rent,"Larkfield Avenue, Harrow, HA3",3.0,1,,1900,438,3 bedroom maisonette to rent,maisonette,HA3,,omt,https://www.onthemarket.com/details/11095640/,2023-05-20
rent,"Erith Road, Erith DA8",3.0,1,,2000,462,3 bedroom end of terrace house to rent,house,DA8,,omt,https://www.onthemarket.com/details/13234890/,2023-05-20
rent,"Anson Road, Willesden Green, NW2",2.0,1,,2123,490,2 bedroom flat to rent,flat,NW2,,omt,https://www.onthemarket.com/details/13234863/,2023-05-20
rent,Croydon CR0,3.0,1,,2000,462,3 bedroom terraced house to rent,terraced,CR0,,omt,https://www.onthemarket.com/details/13198375/,2023-05-20
rent,"St John Street, Clerkenwell EC1V",,1,,1600,369,Studio to rent,Studio,EC1V,,omt,https://www.onthemarket.com/details/4929143/,2023-05-20
rent,"Parkland Road, Wood Green/Alexandra Palace N22",,,,875,202,Property to rent,,N22,,omt,https://www.onthemarket.com/details/13234838/,2023-05-20
rent,"Lyon Road, Harrow, HA1 2EX",2.0,2,,1950,450,2 bedroom apartment to rent,apartment,2EX,,omt,https://www.onthemarket.com/details/13203142/,2023-05-20
rent,"Ashford Avenue, UB4",1.0,1,,1250,288,1 bedroom apartment to rent,apartment,UB4,,omt,https://www.onthemarket.com/details/13234826/,2023-05-20
rent,"Langdale Gardens, Greenford",1.0,1,,1300,300,1 bedroom ground floor flat to rent,flat,Greenford,,omt,https://www.onthemarket.com/details/8862370/,2023-05-20
rent,"Albert Road, South Norwood",2.0,1,,1895,437,2 bedroom semi-detached house to rent,semi-detached,Norwood,,omt,https://www.onthemarket.com/details/13234788/,2023-05-20
rent,"Nevern Place, Earl`s Court, SW5",2.0,1,,2578,595,2 bedroom flat to rent,flat,SW5,,omt,https://www.onthemarket.com/details/10216513/,2023-05-20
rent,"Seafarer Way, Marine Wharf, Surrey Quays SE16",3.0,2,,3000,692,3 bedroom apartment to rent,apartment,SE16,,omt,https://www.onthemarket.com/details/13234770/,2023-05-20
rent,"Nightingale Road, N22, Wood Green, London, N22",1.0,1,,1600,369,1 bedroom flat to rent,flat,N22,,omt,https://www.onthemarket.com/details/13234769/,2023-05-20
rent,"Belvedere Road, South Bank, London, SE1",1.0,1,,1950,450,1 bedroom flat to rent,flat,SE1,,omt,https://www.onthemarket.com/details/13234763/,2023-05-20
rent,"Earl's Court Square, London, SW5",1.0,1,,4117,950,1 bedroom apartment to rent,apartment,SW5,Savills - Earls Court,omt,https://www.onthemarket.com/details/13215586/,< 7 days
rent,"Cornwall Avenue, Finchley N3",4.0,2,,3100,715,4 bedroom semi-detached house to rent,semi-detached,N3,Ideal Place - Barnet,omt,https://www.onthemarket.com/details/13212709/,2023-05-20
rent,"Keybridge Capital, Vauxhall",1.0,1,,2575,594,1 bedroom apartment to rent,apartment,Vauxhall,,omt,https://www.onthemarket.com/details/10286653/,2023-05-20
rent,"Howard Road, London",,1,,1300,300,Studio to rent,Studio,London,,omt,https://www.onthemarket.com/details/13234747/,2023-05-20
rent,"Pinner Road, London HA1",3.0,1,,2275,525,3 bedroom apartment to rent,apartment,HA1,,omt,https://www.onthemarket.com/details/12326849/,2023-05-20
rent,"Sloane Avenue, Chelsea, SW3",,1,,1500,346,Studio to rent,Studio,SW3,,omt,https://www.onthemarket.com/details/13116228/,2023-05-20
rent,"Kew Gardens Road, Kew, Richmond",2.0,,,2000,462,2 bedroom apartment to rent,apartment,Richmond,,omt,https://www.onthemarket.com/details/8603726/,2023-05-20
rent,Warlingham,2.0,2,,1450,335,2 bedroom apartment to rent,apartment,Warlingham,,omt,https://www.onthemarket.com/details/2403865/,2023-05-20
rent,Bedford Road Clapham Common SW4,4.0,2,,3750,865,4 bedroom house to rent,house,SW4,,omt,https://www.onthemarket.com/details/13234704/,2023-05-20
rent,North Street London SW4,2.0,1,,2250,519,2 bedroom flat to rent,flat,SW4,,omt,https://www.onthemarket.com/details/13234701/,2023-05-20
rent,"Paddington Exchange, Hermitage Street, Paddington W2",1.0,1,,2817,650,1 bedroom apartment to rent,apartment,W2,,omt,https://www.onthemarket.com/details/13092062/,2023-05-20
rent,"Dundee Court, Wapping Lane, Wapping E1W",2.0,2,,3467,800,2 bedroom duplex to rent,duplex,E1W,,omt,https://www.onthemarket.com/details/13234692/,2023-05-20
rent,"Angelis Apartments,Graham Street, Islington N1",2.0,2,,3250,750,2 bedroom apartment to rent,apartment,N1,,omt,https://www.onthemarket.com/details/13234691/,2023-05-20
rent,"Roman House, Wood Street, St Pauls EC2Y",1.0,1,,2817,650,1 bedroom apartment to rent,apartment,EC2Y,,omt,https://www.onthemarket.com/details/13234690/,2023-05-20
