transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,Narcissus Road London NW6,1,1,,1750,404,A large and modern one bedroom apartment boasting wooden floors throughout and located in the heart of West Hampstead.,Flat,NW6,"Kinleigh Folkard & Hayward - Lettings, West Hampstead",rightmove,https://www.rightmove.co.uk/properties/134808584#/?channel=RES_LET,15/05/2023
rent,"Flat 2, Refectory Apartments, 3 Lawrence Yard, London, N15",2,1,,1750,404,"Ellis & Co are delighted to offer on the market this bright & airy first floor, 2 bedroom modern apartment.",Apartment,N15,"Ellis & Co, Tottenham",rightmove,https://www.rightmove.co.uk/properties/135045284#/?channel=RES_LET,2023-05-19
rent,"Essex Road, Islington, N1",3,1,,3250,750,"This superbly located three double bedroom split level apartment is moments from Angel underground station and the fantastic selection of shops, bars and restaurants along Upper Street. It is light and airy and has an open plan reception room, modern kitchen and wood floors. Ideally sui...",Apartment,N1,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/135045269#/?channel=RES_LET,2023-05-19
rent,"Kingston Road, London, SW20",1,1,,1450,335,"Modern 1 bed, 1 bath flat located within walking distance to Wimbledon chase and Raynes park station.",Flat,SW20,"Criterion Hospitality Limited, Criterion Hospitality Limited",rightmove,https://www.rightmove.co.uk/properties/135005855#/?channel=RES_LET,2023-05-19
rent,"Adelaide Road, Chalk Farm, NW3",1,1,,1650,381,"This charming one bedroom apartment is on the second floor of a converted, attractive period property and is superbly located - just moments from Chalk Farm station and Primose Hill. This light and airy apartment has an open plan reception, modern fitted kitchen, bedroom and fully tiled bathroom....",Apartment,NW3,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/133526060#/?channel=RES_LET,2023-05-19
rent,"Manor Farm Drive, Chingford, E4",4,3,,2900,669,"This absolutely stunning high spec four bedroom, three bathroom family house is newly refurbished throughout with modern quality fixtures and fittings throughout. This hugely impressive property has a fully open plan and very spacious ground floor which includes a stunning designer fitte...",House,E4,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/134312843#/?channel=RES_LET,2023-05-19
rent,"Carvell House, 22 Aerodrome Road, London, NW9",2,2,,1650,381,Life Residential are pleased to offer this luxurious two bedroom apartment in Carvell House,Apartment,NW9,"Life Residential, West London- Lettings",rightmove,https://www.rightmove.co.uk/properties/133361897#/?channel=RES_LET,2023-05-19
rent,"Golders Way, London, NW11",1,1,,1500,346,"Simply stunning. A fabulous one bedroom modernised apartment ideally situated in the heart of Golders Green. Close to shops and tube. Benefits include fully furnished, designer interior, study area, convenient location and available immediately. Council Tax Band: B Deposit: £...",Apartment,NW11,"Ellis & Co, Golders Green",rightmove,https://www.rightmove.co.uk/properties/134896484#/?channel=RES_LET,17/05/2023
rent,"High Road, Wood Green, N22",1,1,,1500,346,"Overlooking the greenery of Woodside Park and superbly located for Wood Green underground (Piccadilly Line), Bowes Park and Alexandra Park (National Rail) stations, is this delightful one bedroom apartment. Set on the second floor of a well maintained converted period building, the apart...",Apartment,N22,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/135044270#/?channel=RES_LET,2023-05-19
rent,"Hallam Street, London, W1W",1,1,,12133,2800,"Bright and airy, 2nd floor (with lift), furnished apartment, situated in a beautiful portered period building between Fitzrovia and Marylebone, benefitting from wood floors and ample storage space. Comprises of one double bedroom, modern bathroom, well presented contemporary kitchen, a...",Apartment,W1W,"The London Broker, Mayfair",rightmove,https://www.rightmove.co.uk/properties/135044021#/?channel=RES_LET,2023-05-19
