transaction,address,bedroom,bathroom,living_room,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Woodstock Gardens, Beckenham BR3",1,1,1,,1350,312,"Fantastic 1 bedroom ground floor flat available, zero deposit option, newly fitted kitchen, newly fitted bathroom suite, good size bedroom and ...",flat,BR3,Andrew Reeves Countrywide - Beckenham,zoopla,https://www.zoopla.co.uk/to-rent/details/54145299/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"238 London Road, Twickenham TW1",1,1,1,,1400,323,*** No Administration Fee if you move by 30th June *** This superb ground floor apartment forms part of a detached Edwardian building and boasts ...,,TW1,John D Wood & Co. - St. Margarets Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64676727/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Sandford Road, Bromley BR2",2,1,1,,1450,335,"**available in now** - two bedroom first floor flat to rent, with off street parking, centrally located and minutes walk from bromley south station!",,BR2,Andrew Reeves Countrywide - Bromley,zoopla,https://www.zoopla.co.uk/to-rent/details/64676724/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"London Road, Forest Hill SE23",1,1,1,,1300,300,Short term - Commuters delight! This sassy one bedder in a purpose built block bang in the heart of Forest Hill with brand spanking new interior. ...,flat,SE23,Leaders - Forest Hill,zoopla,https://www.zoopla.co.uk/to-rent/details/64676677/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"City Road, London EC1V",2,1,,,3792,875,*Brand New* 2 bed 1 bath apartment to rent at 250 City Road with City Views!,flat,EC1V,One London,zoopla,https://www.zoopla.co.uk/to-rent/details/64676674/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Kempshott Road, London SW16",2,1,1,,1900,438,"A tastefully presented, split-level flat with a private garden offering excellent contemporary-style accommodation over two floors. This light ...",flat,SW16,Winkworth - Streatham,zoopla,https://www.zoopla.co.uk/to-rent/details/62320213/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Seymour Road, London N8",2,1,1,,2100,485,Two double bedroom ground floor Victorian conversion situated on the Harringay Ladder.,terraced,N8,Winkworth - Harringay,zoopla,https://www.zoopla.co.uk/to-rent/details/64676668/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Fitzjohn's Avenue, Hampstead NW3",3,3,1,,8498,1961,"Forming part of this magnificent development, a stunning 3 Bedroom duplex apartment, set over the raised ground and garden level of this ...",flat,NW3,TK International,zoopla,https://www.zoopla.co.uk/to-rent/details/64676664/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Powis Gardens, London NW11",,1,,,1200,277,Description Property Reference Number: 100684. This first floor flat comprises a separate kitchen and shower room. Perfectly located close to ...,Studio,NW11,PropertyLoop,zoopla,https://www.zoopla.co.uk/to-rent/details/64676667/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
rent,"Field End Road, Ruislip, London HA4",1,1,,,1425,329,Description Property Reference Number: 100688. An immaculate and stylishly presented ground floor one bedroom apartment set within this luxury ...,flat,HA4,PropertyLoop,zoopla,https://www.zoopla.co.uk/to-rent/details/64676651/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,20-05-2023
