transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_added 
rent,"Denning Mews, London, SW12",1,1, ,"2,000",462,,1 bedroom apartment to rent,SW12,Savills - Clapham,omt,https://www.onthemarket.com/details/13210040/,< 7 days
rent,"Burnley Road, Kilburn, London NW10",1,1, ,"1,800",415,,1 bedroom in a house share to rent,NW10,Home World Management - London,omt,https://www.onthemarket.com/details/13210497/,< 7 days
rent,"Ponder Street, N7, London N7",2,1, ,"2,000",462,,2 bedroom flat to rent,N7,,omt,https://www.onthemarket.com/details/13210369/,< 7 days
rent,"Blunden Close, Chadwell Heath RM8",1,1, ,"1,200",277,,1 bedroom semi-detached house to rent,RM8,,omt,https://www.onthemarket.com/details/9973161/,< 7 days
rent,"Blantyre Tower, London SW10",2,, ,"2,500",577,,2 bedroom flat to rent,SW10,,omt,https://www.onthemarket.com/details/13210012/,< 7 days
rent,"Upton Ln, London E7",3,3, ,"3,400",785,,3 bedroom flat to rent,E7,,omt,https://www.onthemarket.com/details/13209922/,< 7 days
rent,"Cadogan Close, Harrow HA2",6,3, ,"5,500","1,269",,6 bedroom house to rent,HA2,,omt,https://www.onthemarket.com/details/13209754/,< 7 days
rent,"DOUBLE ROOM FOR SINGLE MALE | WALTAMHSTOW | AVAILABLW NOW, London E17",1,1, ,500,115,,1 bedroom in a house share to rent,E17,,omt,https://www.onthemarket.com/details/13207761/,< 7 days
rent,"Beaufort Park, London NW11",4,2, ,"2,500",577,,4 bedroom flat to rent,NW11,,omt,https://www.onthemarket.com/details/13221014/,today
rent,"Bromley Grove, Bromley BR2",1,1, ,"1,300",300,,1 bedroom flat to rent,BR2,,omt,https://www.onthemarket.com/details/13221006/,today
rent,"Poppins Court, EC4A",2,2, ,"3,000",692,,2 bedroom apartment to rent,EC4A,,omt,https://www.onthemarket.com/details/13162580/,Reduced today
rent,"Avenue Road, Swiss Cottage, London, NW8",2,2, ,"2,999",692,,2 bedroom flat to rent,NW8,,omt,https://www.onthemarket.com/details/13220988/,today
rent,"Palace Wharf, Rainville Road, Fulham, W6",2,2, ,"5,370","1,239",,2 bedroom apartment to rent,W6,,omt,https://www.onthemarket.com/details/6932701/,today
rent,Apollo Building Newton Place London E14,2,2, ,"2,297",530,,2 bedroom apartment to rent,E14,,omt,https://www.onthemarket.com/details/13186324/,Reduced today
rent,"Warwick Gardens, Kensington, London W14",2,2, ,"3,033",700,,2 bedroom flat to rent,W14,,omt,https://www.onthemarket.com/details/13220979/,today
rent,"Leinster Square, Bayswater, London, W2",1,1, ,"3,445",795,,1 bedroom flat to rent,W2,,omt,https://www.onthemarket.com/details/13084788/,Reduced today
rent,"Grays Inn Road, Bloomsbury, London, WC1X",2,2, ,"4,334","1,000",,2 bedroom flat to rent,WC1X,,omt,https://www.onthemarket.com/details/13220965/,today
rent,"Wricklemarsh Road, SE3",1,, ,"1,450",335,,1 bedroom flat to rent,SE3,,omt,https://www.onthemarket.com/details/13220962/,today
rent,Stanmore St N1,1,1, ,"1,950",450,,1 bedroom flat to rent,N1,,omt,https://www.onthemarket.com/details/12359616/,today
rent,"Ravenscourt Road, London, W6",Studio,1, ,"1,300",300,,Studio to rent,W6,,omt,https://www.onthemarket.com/details/13220960/,today
rent,"Mackenzie Road, Islington, London, N7",3,2, ,"5,001","1,154",,3 bedroom house to rent,N7,,omt,https://www.onthemarket.com/details/13220954/,today
rent,"Apartment 12, Hampton House, London, Greater London",1,1, ,"2,550",588,,1 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/12862817/,Reduced today
rent,"Frognal, Hampstead, London, NW3",Studio,1, ,"3,034",700,,Studio to rent,NW3,,omt,https://www.onthemarket.com/details/13220951/,today
rent,"Islington On The Green, 12A Islington Green, Angel, Islington, N1",1,1, ,"2,665",615,,1 bedroom apartment to rent,N1,Savills - Islington,omt,https://www.onthemarket.com/details/776007/,> 14 days
rent,"Ravenscourt Road, London, W6",Studio,1, ,"1,300",300,,Studio to rent,W6,Ellender Estates - Ealing,omt,https://www.onthemarket.com/details/13220960/,today
rent,"Mackenzie Road, Islington, London, N7",3,2, ,"5,001","1,154",,3 bedroom house to rent,N7,,omt,https://www.onthemarket.com/details/13220954/,today
rent,"Apartment 12, Hampton House, London, Greater London",1,1, ,"2,550",588,,1 bedroom apartment to rent,London,,omt,https://www.onthemarket.com/details/12862817/,Reduced today
rent,"Frognal, Hampstead, London, NW3",Studio,1, ,"3,034",700,,Studio to rent,NW3,,omt,https://www.onthemarket.com/details/13220951/,today
rent,"Glaisher Street, Greenwich, London, SE8",2,2, ,"2,200",508,,2 bedroom flat to rent,SE8,,omt,https://www.onthemarket.com/details/13220944/,today
rent,"Glaisher Street, Greenwich, London, SE8",2,2, ,"3,900",900,,2 bedroom flat to rent,SE8,,omt,https://www.onthemarket.com/details/13220943/,today
rent,"Micklethwaite Road, Fulham, London, SW6",3,2, ,"4,009",925,,3 bedroom maisonette to rent,SW6,,omt,https://www.onthemarket.com/details/13220940/,today
rent,"Palace Wharf, Rainville Road, Hammersmith, W6",3,3, ,"8,150","1,881",,3 bedroom penthouse to rent,W6,,omt,https://www.onthemarket.com/details/13220939/,today
rent,"St Gabriel Walk, Elephant and Castle, SE1",2,1, ,"3,000",692,,2 bedroom flat to rent,SE1,,omt,https://www.onthemarket.com/details/13220937/,today
rent,"West End Road, Greater London, HA4",3,1, ,"2,200",508,,3 bedroom semi-detached house to rent,HA4,,omt,https://www.onthemarket.com/details/9877445/,today
rent,"Epsom Road, Croydon, CR0",1,1, ,"1,400",323,,1 bedroom flat to rent,CR0,,omt,https://www.onthemarket.com/details/13220928/,today
rent,"Green Dragon House, Central Croydon, Croydon, CR0",1,1, ,"1,550",358,,1 bedroom flat to rent,CR0,,omt,https://www.onthemarket.com/details/13220927/,today
rent,"Normanton Road, South Croydon, CR2",2,2, ,"1,700",392,,2 bedroom flat to rent,CR2,,omt,https://www.onthemarket.com/details/13220926/,today
rent,"Avenue Close, St Johns Wood, London, NW8",2,2, ,"4,225",975,,2 bedroom apartment to rent,NW8,,omt,https://www.onthemarket.com/details/13220923/,today
rent,"Ontario Tower, Canary Wharf, London, E14",2,2, ,"2,800",646,,2 bedroom flat to rent,E14,,omt,https://www.onthemarket.com/details/13107608/,Reduced today
rent,"Tregothnan Road, Clapham North, London, SW9",2,1, ,"1,850",427,,2 bedroom flat to rent,SW9,,omt,https://www.onthemarket.com/details/13117304/,Reduced today
rent,"New Broadway, Ealing, London, W5",Studio,1, ,750,173,,Studio to rent,W5,,omt,https://www.onthemarket.com/details/12877179/,today
rent,"Palmer Rd, Prince of Wales Drive, London, SW11",1,1, ,"2,850",658,,1 bedroom flat to rent,SW11,,omt,https://www.onthemarket.com/details/13173654/,Reduced today
rent,"Grosvenor Road, Finchley, N3",5,2, ,"3,500",808,,5 bedroom terraced house to rent,N3,,omt,https://www.onthemarket.com/details/4739952/,today
rent,"Clapton Square, Lower Clapton, Hackney, London, E5",2,1, ,"2,000",462,,2 bedroom flat to rent,E5,,omt,https://www.onthemarket.com/details/10468514/,today
rent,"Merchant Square, Harbet Road, Paddington, W2",3,2, ,"5,156","1,190",,3 bedroom apartment to rent,W2,,omt,https://www.onthemarket.com/details/9366134/,today
rent,Highgate Hill,1,1, ,"2,250",519,,1 bedroom flat to rent,Hill,,omt,https://www.onthemarket.com/details/13220888/,today
rent,"Wadham Road, London",5,3, ,"5,750","1,327",,5 bedroom terraced house to rent,London,Chase Residential - Wembley,omt,https://www.onthemarket.com/details/12407737/,Reduced < 14 days
rent,"Arden Crescent, Dagenham, RM9",4,, ,"2,400",554,,4 bedroom semi-detached house to rent,RM9,haart Estate Agents - Dagenham,omt,https://www.onthemarket.com/details/13220886/,today
rent,New Horizons Court,1,1, ,"1,820",420,,1 bedroom ground floor flat to rent,Court,,omt,https://www.onthemarket.com/details/13220885/,today
rent,"Rushmore Road, Lower Clapton, London, E5",1,1, ,"1,900",438,,1 bedroom flat to rent,E5,,omt,https://www.onthemarket.com/details/7716247/,today
rent,"Grove End Gardens, Grove End Road, St Johns Wood, London, NW8",1,1, ,"2,492",575,,1 bedroom apartment to rent,NW8,,omt,https://www.onthemarket.com/details/8077468/,Reduced today
rent,"Grove End Gardens, Grove End Road, St Johns Wood, London, NW8",1,1, ,"2,535",585,,1 bedroom apartment to rent,NW8,,omt,https://www.onthemarket.com/details/13130284/,Reduced today
rent,"Cree Studios, Elm Grove, Wimbledon, London, SW19",2,1, ,"2,750",635,,2 bedroom apartment to rent,SW19,,omt,https://www.onthemarket.com/details/11549585/,today
rent,"Princes Gardens, Knightsbridge, London, SW7",Studio,1, ,"2,058",475,,Studio to rent,SW7,,omt,https://www.onthemarket.com/details/13220864/,today
rent,"Wharfside Point South, London E14",2,2, ,"2,275",525,,2 bedroom flat to rent,E14,,omt,https://www.onthemarket.com/details/13220863/,today
rent,Hackney Road,2,2, ,"3,350",773,,2 bedroom flat to rent,Road,,omt,https://www.onthemarket.com/details/13220862/,today
rent,"Southgate Road, London, N1",3,2, ,"3,400",785,,3 bedroom flat to rent,N1,,omt,https://www.onthemarket.com/details/13220859/,today
rent,Draycott Avenue,Studio,1, ,"1,750",404,,Studio to rent,Avenue,,omt,https://www.onthemarket.com/details/13220852/,today
rent,"Carrara Tower, 1 Bollinder Place, London, Greater London, EC1V",2,2, ,"4,983","1,150",,2 bedroom apartment to rent,EC1V,,omt,https://www.onthemarket.com/details/13220848/,today
rent,Elm Grove Wimbledon SW19,2,1, ,"2,750",635,,2 bedroom house to rent,SW19,,omt,https://www.onthemarket.com/details/13220847/,today
rent,Olympic Way,1,1, ,"1,724",398,,1 bedroom flat to rent,Way,,omt,https://www.onthemarket.com/details/13220846/,today
rent,"Kennington Lane, Kennington",2,1, ,"1,795",414,,2 bedroom flat to rent,Kennington,,omt,https://www.onthemarket.com/details/7937528/,Reduced today
rent,"Portman Mansions, Chiltern Street,, Marylebone, London, W1U",4,2, ,"8,558","1,975",,4 bedroom apartment to rent,W1U,,omt,https://www.onthemarket.com/details/10742158/,Reduced today
rent,"Portman Mansions, Chiltern Street,, Marylebone, London, W1U",4,2, ,"8,558","1,975",,4 bedroom apartment to rent,W1U,,omt,https://www.onthemarket.com/details/13100955/,Reduced today
rent,"Greenford Avenue, Hanwell",1,1, ,"1,400",323,,1 bedroom flat to rent,Hanwell,,omt,https://www.onthemarket.com/details/13220828/,today
rent,"Gardenia Road, Enfield",3,2, ,"2,600",600,,3 bedroom terraced house to rent,Enfield,,omt,https://www.onthemarket.com/details/13220825/,today
rent,"Penryn Street, Kings Cross, London, NW1",3,2, ,"3,995",922,,3 bedroom house to rent,NW1,,omt,https://www.onthemarket.com/details/13159510/,Reduced today
rent,"Bracewood Gardens, Croydon, CR0",3,1, ,"2,000",462,,3 bedroom terraced house to rent,CR0,,omt,https://www.onthemarket.com/details/12429379/,Reduced today
