transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_type,date
rent,"No.1 West India Quay, 26 Hertsmere Road, Canary Wharf, E14",2,2, ,"£3,250",£750,"Jack Rose Estates offers this spacious two bedroom apartment with floor to ceiling windows & stunning views. Approx. 950sqft of living space, as well as comfort cooling & secure parking.",Apartment,E14,"Jack Rose Estates Ltd, Covering London",rightmove,https://www.rightmove.co.uk/properties/134680880#/?channel=RES_LET,Added,11/05/2023
rent,"Gleneldon Road, London, SW16",1,1, ,"£1,575",£363,"A stunning one bedroom apartment, situated on the ground floor of a period conversion. This property is offered furnished and is best suited for a single professional or a professional couple. Available 20th June 2023!",Flat,SW16,"Carter Rose Property Group, London",rightmove,https://www.rightmove.co.uk/properties/125859092#/?channel=RES_LET,Added,2023-05-17
rent,"Willoughby Road, Hampstead",1,1, ,"£2,578",£595,"(5WR-B) Stylish interior designed 1 bedroom apartment large open plan fitted kitchen and reception room, double bedroom and dressing room, bathroom with shower, GCH, wooden floors near to Hampstead High St.",Apartment,Hampstead,"Concept Studio Apartments, London",rightmove,https://www.rightmove.co.uk/properties/134426747#/?channel=RES_LET,Reduced,2023-05-17
rent,"Cressingham Road, SE13",5,, ,"£4,000",£923,**NO DEPOSIT OPTION AVAILABLE** **Five Bedroom House** - Haart Ealing are proud to present to rent this unique five bedroom three floor terraced house located in Lewisham SE13... continued,Semi-Detached,SE13,"haart, Ealing - Lettings",rightmove,https://www.rightmove.co.uk/properties/134926931#/?channel=RES_LET,Added,2023-05-17
rent,"Westwick Gardens, LONDON",2,, ,"£2,349",£542,"Stunning two bedroom two bathroom, ground floor apartment in a Victorian Conversion, benefiting from its own entrance and private rear garden Located within the popular area of Brook Green and Kensington Olympia. Pet friendly, over 780 sqft, fully furnished available in July. The property ...",Apartment,LONDON,"Barnard Marcus Lettings, West Kensington - Lettings",rightmove,https://www.rightmove.co.uk/properties/134926916#/?channel=RES_LET,Added,2023-05-17
rent,"Southway, LONDON",6,4, ,"£3,250",£750,"***ZERO DEPOSIT GUARANTEE AVAILABLE***A superbly presented six bedroom sem-idetached family house situated in one of Whetstone’s premier roads. The property further benefits from own drive, two reception areas, modern kitchen and bathroom suites and a most attractive large rear garden. The proper...",House,LONDON,"Barnard Marcus Lettings, North Finchley Lettings",rightmove,https://www.rightmove.co.uk/properties/134926898#/?channel=RES_LET,Added,2023-05-17
rent,"Chelsea Cloisters, Sloane Avenue, SW3",1,1, ,"£2,450",£565,Bright and spacious one bedroom apartment on the 4th floor of this excellent portered building in Chelsea.,Flat,SW3,"Chestertons Estate Agents, Chelsea Lettings",rightmove,https://www.rightmove.co.uk/properties/133848263#/?channel=RES_LET,Reduced,2023-05-17
rent,"Neroli House, Goodman's Fields, London, E1",,1, ,"£2,817",£650,"Goodman's Fields is a selection of beautiful apartments as well as independent coffee shops, cafes and restaurants, a hotel, 2 acres of stunning landscaping and unforgettable public art. Residents benefit from a 24-hour concierge, residents' private screening room, pool, gym and spa.",Studio,E1,"LDM Properties, London",rightmove,https://www.rightmove.co.uk/properties/134926829#/?channel=RES_LET,Added,2023-05-17
rent,"Haydon Park Road, SW19",3,1, ,"£3,500",£808,"SHORT LET - ALL BILLS INCLUDED : A DELIGHTFUL three-bedroom house presented in IMMACULATE CONDITION THROUGHOUT, ideally located on a QUIET RESIDENTIAL ROAD. This BEAUTIFUL and BRIGHT property benefits from a well maintained PRIVATE GARDEN and comprises a FULLY FITTED kitchen, a LARGE reception ro...",House,SW19,"Winchester White, Wimbledon",rightmove,https://www.rightmove.co.uk/properties/134926865#/?channel=RES_LET,Added,2023-05-17
rent,"Quebec Way, Canada Water, SE16",1,1, ,"£2,000",£462,"A superbly presented 576sqft first-floor modern apartment, within easy reach of Canada Water and Surrey Quays stations. Spacious throughout, high ceilings, a separate well-appointed kitchen, a huge storage room and a large balcony overlooking landscaped gardens. Furnished, available now.",Apartment,SE16,"Urban Patchwork, London",rightmove,https://www.rightmove.co.uk/properties/134926850#/?channel=RES_LET,Added,2023-05-17
