transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,date_type,listed_date
rent,"St Loo Court, St Loo Avenue, Chelsea, London, SW3",3,2, ,"10,617","2,450","A naturally lit three bedroom flat to rent in Chelsea, SW3 The first floor property (with lift) is in a great location near to the local amenities of Kings Road. The large reception room is great for entertaining guests and provides access to the private balcony, a modern kitchen with breakfast...",Flat,SW3,"Knight Frank - Lettings, Knightsbridge",rightmove,https://www.rightmove.co.uk/properties/134748602#/?channel=RES_LET,Added,12/05/2023
rent,"Grosvenor Court, Christchurch Avenue, London, NW6",1,1, ,"1,798",415,A beautiful and modern one bedroom flat in a purpose-built building moments from Brondesbury Park,Apartment,NW6,"Marsh & Parsons, Queens Park",rightmove,https://www.rightmove.co.uk/properties/135026240#/?channel=RES_LET,Added,2023-05-19
rent,Available 1st September -Forsyth Gardens,4,1, ,"2,999",692,Attention Students  Available 1ST  SEPTEMBER  2023 Private garden 4 Double bedrooms ( No living/ Lounge room) Modern Kitchen Moments from Kennington station   Council tax band- C minimum con...,Flat,Gardens,"1 Ability Estate Agents, London",rightmove,https://www.rightmove.co.uk/properties/133759562#/?channel=RES_LET,Reduced,2023-05-19
rent,"Woodford New Road, London",,, ,"1,000",231,"Range Homes are delighted to offer this new build Studio flat in the heart of Woodford Green. The property benefits from laminate flooring, double glazed windows and all bills included in the price.",Studio,London,"Range Homes, Palmers Green",rightmove,https://www.rightmove.co.uk/properties/133890605#/?channel=RES_LET,Added,2023-05-19
rent,"Ironmonger Row EC1V, OLD STREET-SHOREDITCH EC1V",3,, ,"3,250",750,"A split level three bedroom apartment located minutes to Old nbsp;Street station. nbsp;Arranged nbsp;over two floors the property comprises of nbsp;a modern fitted nbsp;kitchen diner, a generous size living room, three double bedrooms, nbsp;tiled bathroom and separate W/C.",Flat,EC1V,"Black Katz, Islington",rightmove,https://www.rightmove.co.uk/properties/135025862#/?channel=RES_LET,Added,2023-05-19
rent,"Woodlands Park Road, London, SE10",1,1, ,"1,600",369,"A spacious one-bedroom flat, with a private garden, in an excellent location.",Flat,SE10,"Daniel Watney, London",rightmove,https://www.rightmove.co.uk/properties/135025859#/?channel=RES_LET,Added,2023-05-19
rent,"Slingsby Place, St Martin's Courtyard, WC2E",,1, ,"2,015",465,"Contemporary studio flat in modern development This contemporary studio flat to rent is located on the second floor of this modern new development in the heart of Covent Garden. The well maintained building is located within an oasis of boutique shops, restaurants and cafes ...",Apartment,WC2E,"CBRE Residential, West End",rightmove,https://www.rightmove.co.uk/properties/133775477#/?channel=RES_LET,Added,2023-05-19
rent,"Friend Street, London, EC1V",2,2, ,"3,000",692,"A spacious two-bedroom maisonette flat, on a quiet residential street, with a private patio. The flat is within a short walking distance from Angel Station.",Flat,EC1V,"Daniel Watney, London",rightmove,https://www.rightmove.co.uk/properties/135025784#/?channel=RES_LET,Added,2023-05-19
rent,"Nottingham Place, Baker Street - Marylebone W1U",4,, ,"4,983","1,150","A well-presented four double bedroom two bathroom apartment within a well maintained period building in the centre of Marylebone. The property benefits from a mix of carpets and wood flooring, three double bedrooms, en-suite to master bedroom, neutral decor, modern fully fitted kitchen and balcon...",Flat,W1U,"Black Katz, Camden",rightmove,https://www.rightmove.co.uk/properties/133904087#/?channel=RES_LET,Reduced,2023-05-19
rent,"St. Georges Square, London, SW1V",2,2, ,"2,492",575,"A two bedroom, two bathroom basement flat on the corner of St. George's Square, very close to Pimlico Underground Station and the boutiques and restaurants of the Moreton Triangle. Two bedrooms; two bathrooms; reception/dining room; kitchen. Available now; furnished; EPC rating C",Flat,SW1V,"Jackson-Stops, Pimlico",rightmove,https://www.rightmove.co.uk/properties/134313632#/?channel=RES_LET,Reduced,2023-05-19
rent,"1 Bedroom Flat in Clarence Lane, Roehampton, SW1",1,, ,"1,850",427,"One bedroom in the ground floor situated at Clarence Lane, Roehampton. This property enjoys the added advantage of being in close proximity to the renowned Roehampton University and is surrounded by lush green spaces and verdant parks. With the added convenience of being offered fully furnished a...",Flat,SW1,"Lawsons & Daughters, London",rightmove,https://www.rightmove.co.uk/properties/135025565#/?channel=RES_LET,Added,2023-05-19
rent,"Ramsay Road, London, E7",,, ,800,185,Ground floor self-contained studio flat available now !!!,Studio,E7,"Yellands, South Woodford",rightmove,https://www.rightmove.co.uk/properties/116747984#/?channel=RES_LET,Added,2023-05-19
rent,"St. Chad's Street, King's Cross, London",,1, ,"1,600",369,"** VIDEO VIEWING AVAILABLE ** Stunning studio apartment to rent within a short walk from King's Cross station. The property comprises a spacious studio space with large windows and fold away bed, separate kitchen and luxury shower room. St. Chad's Street is a great central location ideal for p...",Studio,London,"David Astburys, London",rightmove,https://www.rightmove.co.uk/properties/134486702#/?channel=RES_LET,Reduced,2023-05-19
rent,"Clippers Quay, London, E14",1,, ,"1,550",358,"A spacious one bedroom apartment on the 1st floor. Apartment also offers fitted kitchen, allocated parking, and balcony offering views of the dock view within walking distance to Mudchute DLR & Asda supermarket.",Apartment,E14,"Vantage Properties & Management Ltd, Limeharbour",rightmove,https://www.rightmove.co.uk/properties/135025457#/?channel=RES_LET,Added,2023-05-19
rent,"Lanchester Way, London, SW11",2,2, ,"3,649",842,"Two double bedroom, two bathroom apartment, situated in the popular Senate building. The apartment compromises from open plan living with a fully integrated, high specification kitchen and entertaining space with double doors that lead out onto a superb private terrace, Two double bedrooms en-sui...",Apartment,SW11,"Stirling Ackroyd Lettings, Nine Elms and Westminster",rightmove,https://www.rightmove.co.uk/properties/135025253#/?channel=RES_LET,Added,2023-05-19
rent,"Ranelagh Garden Mansions, Ranelagh Gardens, SW6",1,1, ,"2,145",495,A recently refurbished one bedroom property in the heart of Putney Bridge.,Flat,SW6,"Draker Lettings, Fulham Broadway",rightmove,https://www.rightmove.co.uk/properties/135025145#/?channel=RES_LET,Added,2023-05-19
rent,"IMPERIAL HOUSE, KENSINGTON, W8",1,2, ,"3,792",875,"An impressive one-bedroom apartment situated on the 4th floor of a stylish, contemporary building in Kensington.",Apartment,W8,"M2 Property, London",rightmove,https://www.rightmove.co.uk/properties/135025028#/?channel=RES_LET,Added,2023-05-19
rent,"Bradmore Park Road, Brackenbury Village, Hammersmith, W6",2,1, ,"3,800",877,"A newly refurbished and stylishly presented two-bedroom house in the heart of Brackenbury Village.Comprises two double bedrooms, a modern fitted kitchen and bathroom as well as a spacious conservatory leading onto a private rear garden.Local authority: London Borough of Hammersmi...",Terraced,W6,"Horton and Garton, Hammersmith and Shepherd's Bush",rightmove,https://www.rightmove.co.uk/properties/135025025#/?channel=RES_LET,Added,2023-05-19
