transaction,address,bedroom,bathroom,living_room,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Long Lane, Ickenham, Uxbridge UB10",2,1,1, ,"£1,450",£335,A large two bedroom split level maisonette above shops located in the heart of the much sort after Ickenham Village. Set over two floors the ...,2 bed maisonette to rent,UB10,Lakin & Co Ickenham,zoopla,https://www.zoopla.co.uk/to-rent/details/64661542/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Viscount House, Lakeside Drive, London NW10",1,1,1, ,"£1,815",£419,"Northside Estates offer to the market a range of bright, spacious and beautifully finished high spec new one, two and three bedroom apartments at ...",1 bed flat to rent,NW10,Northside Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64661529/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Leslie Road, East Finchley, London N2",1,1,1, ,"£1,500",£346,"Offers in excess of £1500pcm available August 2023, block viewing to be confirmed. A stunning, modern One Bedroom First Floor apartment to rent ...",1 bed flat to rent,N2,Reliable Homes,zoopla,https://www.zoopla.co.uk/to-rent/details/64661496/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Uxbridge Road, Kingston Upon Thames KT1",,1,1, ,£995,£230,Exceptionally bright and spacious studio apartment situated on a sought after river road close to Surbiton Mainline Station.,Studio to rent,KT1,Hamptons - Kingston Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64661474/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Wanstead Road, Bromley BR1",2,1,1, ,"£1,500",£346,Two bedroom first floor apartment. Energy Efficiency Rating D.,2 bed flat to rent,BR1,Langford Russell - Bromley,zoopla,https://www.zoopla.co.uk/to-rent/details/64661476/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Arthouse, 1 York Way, Kings Cross, Islington, London N1C",1,1,1, ,"£2,600",£600,"Please Quote ref: Asp 11547 The apartment comes with engineered timber floor finish to the living room and bedroom, metered environmentally ...",1 bed flat to rent,N1C,Relocate Me,zoopla,https://www.zoopla.co.uk/to-rent/details/58179417/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Kensington Gardens Square, London W2",1,1,1, ,"£1,100",£254,This spacious furnished room located in the heart of Notting Hill is available with bills included.,1 bed property to rent,W2,Portico - Hammersmith,zoopla,https://www.zoopla.co.uk/to-rent/details/64661446/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Villier Street, Uxbridge UB8",4,1,1, ,"£2,200",£508,**student accommodation** This four bedroom semi-detached student house is in a perfect location for students looking to be seconds from Brunel ...,4 bed semi-detached house to rent,UB8,Romans - Uxbridge,zoopla,https://www.zoopla.co.uk/to-rent/details/61547197/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Manoel Road, Twickenham TW2",3,1,2, ,"£2,500",£577,This beautifully presented 3 bedroom house is located in a quiet and sought-after residential street in Twickenham. The property is within walking ...,3 bed terraced house to rent,TW2,Leaders - Kingston,zoopla,https://www.zoopla.co.uk/to-rent/details/64661442/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Vellum Court, Hillyfield, London E17",2,2,1, ,"£1,800",£415,"No deposit option available. Hot water and heating included* A spacious and well presented two bedroom, two bathroom apartment within a short ...",2 bed flat to rent,E17,Portico - Walthamstow,zoopla,https://www.zoopla.co.uk/to-rent/details/61179024/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Cromwell Avenue, London W6",2,1,1, ,"£1,800",£415,"Recently refurbished throughout, this two bedroom mansion flat is located moments from Ravenscourt Park Underground station.",2 bed flat to rent,W6,Portico - Hammersmith,zoopla,https://www.zoopla.co.uk/to-rent/details/64661437/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Chronicle Tower, Lexicon 261B City Road, Islington, Angel, Old Street, London EC1V",2,2,1, ,"£3,142",£725,** virtual viewing & video of unit available upon request ** please quote asp id: 19583 This charming two bedroom apartment consists of two double ...,2 bed flat to rent,EC1V,Relocate Me,zoopla,https://www.zoopla.co.uk/to-rent/details/40525514/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Dawson House, Battersea Power Station, Vauxhall SW11",2,2,1, ,"£5,200","£1,200",Please Quote asp - id 26968 Length of Contract: 12 Months Security Deposit: 5 Weeks of Weekly rent Council Tax: Ask Agent 63 square metres 678 ...,2 bed flat to rent,SW11,Relocate Me,zoopla,https://www.zoopla.co.uk/to-rent/details/45334642/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Kingcup Farm, Willets Lane, Denham UB9",3,3,1, ,"£1,800",£415,**No deposit option available for tenants. Greater protection provided to landlords (ask for details)** Gibbs Gillespie present this unique and ...,3 bed semi-detached house to rent,UB9,Gibbs Gillespie - Uxbridge,zoopla,https://www.zoopla.co.uk/to-rent/details/58614868/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Homefield Park, Sutton SM1",3,1,1, ,"£1,800",£415,***excellent location - available in July*** Leaders are pleased to bring to the market this Spacious three Bedroom Apartment located within the ...,3 bed flat to rent,SM1,Leaders - Sutton,zoopla,https://www.zoopla.co.uk/to-rent/details/59540422/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Glanville Mews, Stanmore, Middlesex HA7",1,1,1, ,"£1,450",£335,** no deposit option available for tenants! (ask for further details)** Skilfully designed to present an ultra-contemporary haven of sheer ...,1 bed flat to rent,HA7,Gibbs Gillespie - Stanmore,zoopla,https://www.zoopla.co.uk/to-rent/details/64661430/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Windmill Hill, Ruislip HA4",2,1,1, ,"£1,600",£369,Gibbs Gillespie bring to the market this generously proportioned two bedroom unfurnished ground floor apartment located within easy walking ...,2 bed maisonette to rent,HA4,Gibbs Gillespie - Ruislip Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64661432/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Braybourne Close, Uxbridge, Middlesex UB8",2,1,1, ,"£1,450",£335,A thoughtfully designed two bedroom house set in the heart of Uxbridge town centre beside a riverside setting.,2 bed end terrace house to rent,UB8,Gibbs Gillespie - Uxbridge,zoopla,https://www.zoopla.co.uk/to-rent/details/64661433/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Marlborough Road, St. James's Palace, London SW1A",2,2,1, ,"£26,000","£6,000",An impressive unfurnished two-bedroom apartment on the fourth floor of The owo Residences offering an incredible sense of light and space. The ...,2 bed flat to rent,SW1A,Mark Tunstall Property,zoopla,https://www.zoopla.co.uk/to-rent/details/64661417/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Marlborough Road, St. James's Palace, London SW1A",,1,1, ,"£8,017","£1,850",An impeccably presented studio apartment in The owo Residences by Raffles that has been interior designed and presented to turnkey standard. It ...,Property to rent,SW1A,Mark Tunstall Property,zoopla,https://www.zoopla.co.uk/to-rent/details/64661419/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Buckler Court, Eden Grove, London N7",1,1,1, ,"£1,863",£430,One bedroom 7th floor apartment in the Vizion7 development. The property comprises an open plan kitchen/reception with integrated appliances and ...,1 bed flat to rent,N7,Stadium Residential,zoopla,https://www.zoopla.co.uk/to-rent/details/44743202/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Chestnut Grove, London SW12",1,1,1, ,"£1,600",£369,This one bedroom apartment comprises of a spacious bright reception room/bedroom with ample storage. Located moments away from Balham underground ...,1 bed flat to rent,SW12,Portico - Battersea,zoopla,https://www.zoopla.co.uk/to-rent/details/64661425/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
rent,"Malpas Road, Brockley SE4",1,1,1, ,"£1,500",£346,One Bedroom Victorian Apartment / six month contract only / no deposit option available / Rear Garden / Unfurnished / Laminated Floor / Central ...,1 bed flat to rent,SE4,Leaders - Lewisham,zoopla,https://www.zoopla.co.uk/to-rent/details/53913881/?search_identifier=33f5294fcac540bb24f72139867afddc410d0049a0ee986d96b98b184d5f285c,18-05-2023
