transaction,address,bedroom,bathroom,living_room,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date,available_date
rent,"Finchley Road, London NW8",2,1,, ,"£3,012",£695,"Stunning spacious flat in a period conversion, large windows allowing plenty of light, period features, high ceilings, available early July. ...",2 bed flat to rent,NW8,City & Urban International Marleybone,zoopla,https://www.zoopla.co.uk/to-rent/details/58983584/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Ebury Street, London SW1W",1,4,2, ,"£9,200","£2,123","Luxurious 5-bedroom Georgian house spread over 4 floors located in the heart of Belgravia, Westminster",1 bed terraced house to rent,SW1W,ezy lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64668031/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"New Covent Garden Market, London SW8",1,1,1, ,"£4,550","£1,050","This stunning one bedroom apartment situated in Thames City, on the 15th floor.",1 bed flat to rent,SW8,London Capital Homes Limited,zoopla,https://www.zoopla.co.uk/to-rent/details/62746775/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Westmark Tower, London W2",1,1,1, ,"£3,683",£850,"*** Please quote reference CN83 when contacting the office *** A luxury one bedroom apartment to let in Westmark Tower, part of the new West End ...",1 bed flat to rent,W2,JC Living,zoopla,https://www.zoopla.co.uk/to-rent/details/64667998/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Etchingham Park Road, London N3",2,2,, ,"£1,800",£415,We are delighted to offer this spacious two double bedroom apartment set within this attractive complex in North Finchley - Available 30th June,2 bed flat to rent,N3,Woodhouse Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64668014/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Ringers Road, Bromley BR1",2,1,1, ,"£1,650",£381,Centrally located just yards off the High Street in Bromley five minutes walk from Bromley South station 10 minutes from Bromley North Station ...,2 bed flat to rent,BR1,Edward Ashdale,zoopla,https://www.zoopla.co.uk/to-rent/details/64667992/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Hamlet Gardens, Hammersmith W6",2,2,1, ,"£3,510",£810,"A bright and spacious two double bedroom apartment, with family bathroom and ensuite is now available to rent. This newly refurbished apartment is ...",2 bed flat to rent,W6,Fraser & Co - Kew Bridge & Brentford,zoopla,https://www.zoopla.co.uk/to-rent/details/63950093/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Forest Rise, London E17",3,2,1, ,"£2,300",£531,"Immaculate Three Bedroom Cottage, Set on a Popular Road in Walthamstow This semi-detached home comprises three generously sized bedrooms and ...",3 bed property to rent,E17,Settle,zoopla,https://www.zoopla.co.uk/to-rent/details/64667989/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"West Parkside, Farnsworth Court West Parkside SE10",2,2,1, ,"£2,150",£496,*2 bed 2 bath with terrace* A spacious and well-presented apartment in Greenwich Millennium Village. Featuring a large open-plan living area with ...,2 bed flat to rent,SE10,Properly,zoopla,https://www.zoopla.co.uk/to-rent/details/64667991/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Exchange Gardens, London SW8",2,2,1, ,"£4,117",£950,Stunning 2 bedroom 2 bathroom apartment situated in the brand new Keybridge development in the heart of Vauxhall. Residents can also benefit from ...,2 bed flat to rent,SW8,London Capital Homes Limited,zoopla,https://www.zoopla.co.uk/to-rent/details/64667978/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Gloucester Terrace, London W2",2,1,1, ,"£3,000",£692,"An immaculately presented two double bedroom apartment benefitting from lots of natural light, lofted ceilings, and modern appliances throughout ...",2 bed flat to rent,W2,Kinleigh Folkard & Hayward - Bayswater Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64667948/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Hampden Road, Harrow HA3",,1,1, ,£700,£162,Partial bills included:- A spacious and well presented bedsit located on a popular road within the Harrow Weald area close to local transport and ...,Studio to rent,HA3,Hinton & Downes,zoopla,https://www.zoopla.co.uk/to-rent/details/54564392/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Montague Road, London SW19",2,2,, ,"£2,900",£669,"A beautiful, bright first-floor flat in the heart of Wimbledon. New build 2 beds, 1 ensuite, floor-to-ceiling wardrobes Beautifully appointed ...",2 bed flat to rent,SW19,OpenRent,zoopla,https://www.zoopla.co.uk/to-rent/details/64667894/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
rent,"Texryte House, London N1",2,1,, ,"£2,350",£542,"- A bright, spacious, modern 2-bedroom, 10th-floor flat in a convenient location. - Ideally, it would suit a professional, couple, or small ...",2 bed flat to rent,N1,OpenRent,zoopla,https://www.zoopla.co.uk/to-rent/details/64667887/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023,Listed on 19th May 2023
